del,al,Encuesta,Muestra,Levantamiento,Error,EPN,JVM,AMLO,GQ,NR,Ventaja
29/5/12,31/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,33.9,20.6,21.5,2.7,21.3,Peña +12.4
28/5/12,30/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,33.3,20.3,21.2,2.8,22.4,Peña +12.1
27/5/12,29/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,34.5,20.2,21.3,2.8,21.2,Peña +13.2
26/5/12,28/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.3,19.6,20,3.4,21.7,Peña +15.3
25/5/12,27/5/12,Milenio-GEA ISA,1148,Vivienda,±3%,36.1,19.1,19.5,3.8,21.5,Peña +16.6
25/5/12,27/5/12,Consulta Mitofsky,1000,Vivienda,±3.1%,35.6,20.4,21.7,1.6,20.7,Peña +13.9
24/5/12,26/5/12,Milenio-GEA ISA,1148,Vivienda,±3%,35.4,18.3,19.1,3.6,23.6,Peña +16.3
24/5/12,27/5/12,Grupo Reforma,1515,Vivienda,±2.9%,28.5,18.0,25.5,4.0,23.0,Peña +2.0
23/5/12,25/5/12,Milenio-GEA ISA,1148,Vivienda,±3%,36.1,19.6,19.4,3.5,21.4,Peña +16.5
23/5/12,26/5/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,36.0,20.0,23.0,2.0,19.0,Peña +13.0
22/5/12,24/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.7,19.7,20.8,3.2,20.6,Peña +14.9
21/5/12,23/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,37.4,19.8,20.3,3.7,18.8,Peña +17.1
20/5/12,22/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,38.4,19.3,20.0,4.3,18.0,Peña +18.4
19/5/12,21/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,40.1,20.2,16.9,4.4,18.4,Peña +19.9
18/5/12,20/5/12,Consulta Mitofsky,1000,Vivienda,±3.1%,37.9,20.1,20.5,1.8,19.7,Peña +17.4
18/5/12,20/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,38.2,20.9,17.0,4.2,19.7,Peña +17.3
18/5/12,20/5/12,Grupo Fórmula-Con Estadística,1200,Vivienda,±2.9%,35.7,23.2,21.1,2.0,18.0,Peña +12.5
17/5/12,19/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,37.5,20.3,17.2,3.9,21.1,Peña +17.2
17/5/12,22/5/12,Ipsos-Bimsa,1000,Vivienda,±3.7%,36.0,21.0,24.0,3.0,16.0,Peña +12.0
16/5/12,18/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.4,20.0,18.7,4.8,20.1,Peña +16.4
15/5/12,17/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.4,20.1,19.8,5.4,18.3,Peña +16.3
15/5/12,18/5/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,38.0,20.0,21.0,2.0,19.0,Peña +17.0
14/5/12,16/5/12,Milenio-GEA ISA,1144,Vivienda,±3%,35.5,20.5,20.1,5.3,18.6,Peña +15
13/5/12,15/5/12,Milenio-GEA ISA,1144,Vivienda,±3%,37.6,20.5,19.3,5.1,17.5,Peña +17.1
13/5/12,16/5/12,SDP Noticias-Covarrubias,1500,Vivienda,±2.53%,36.0,24.0,27.0,4.0,9.0,Peña +9.0
12/5/12,14/5/12,Milenio-GEA ISA,1144,Vivienda,±3%,37.0,20.6,18.3,5.4,18.7,Peña +16.4
12/5/12,14/5/12,GEA-ISA,1000,Vivienda,±4%,37.0,22.0,20.0,4.0,17.0,Peña +15
11/5/12,13/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.0,20.2,18.9,4.8,20.1,Peña +15.8
11/5/12,13/5/12,Consulta Mitofsky,1000,Vivienda,±3.1%,38.4,20.8,19.1,1.7,20.0,Peña +17.6
10/5/12,12/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,34.6,19.6,19.7,4.8,21.3,Peña +14.9
9/5/12,11/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.4,19.5,19.4,3.7,22.0,Peña +15.9
8/5/12,11/5/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,34.0,18.0,19.0,4.0,25.0,Peña +15.0
7/5/12,9/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.0,18.8,19.5,4.1,21.6,Peña +16.5
7/5/12,10/5/12,El Universal-Buendía y Laredo,1000,Vivienda,±3.5%,41.9,19.4,20.9,2.1,15.7,Peña +21.0
7/5/12,9/5/12,Consulta Mitofsky,1000,Vivienda,±3.1%,38.5,21.4,18.6,1.9,19.6,Peña +17.1
7/5/12,8/5/12,Grupo Fórmula-Con Estadística,1200,Vivienda,±2.9%,38.3,19.9,17.3,2.5,22.0,Peña +18.4
7/5/12,9/5/12,Consulta Mitofsky,1000,Vivienda,±3.1%,38.5,21.4,18.6,1.9,19.6,Peña +17.1
6/5/12,8/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.1,19.7,19.8,3.8,20.6,Peña +16.3
5/5/12,7/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.3,20.3,18.4,2.4,22.6,Peña +16.0
4/5/12,6/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.8,20.7,18.5,1.4,23.6,Peña +15.1
3/5/12,5/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.2,20.3,17.8,1.1,25.6,Peña +14.9
2/5/12,6/5/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,41.0,21.0,21.0,1.0,16.0,Peña +20.0
2/5/12,4/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,33.9,21.2,18.7,1.0,25.2,Peña +12.7
1/5/12,3/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,37.9,21.1,17.1,0.9,23.0,Peña +16.8
30/4/12,2/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,37.5,21.1,17.9,1.0,22.5,Peña +16.4
29/4/12,1/5/12,Milenio-GEA ISA,1152,Vivienda,±3%,40.5,20.6,16.6,1.3,21.0,Peña +19.9
28/4/12,3/5/12,Ipsos-Bimsa,1000,Vivienda,±3.7%,41.0,23.0,19.0,1.0,16.0,Peña +18.0
28/4/12,30/4/12,Milenio-GEA ISA,1147,Vivienda,±3%,38.8,20.0,15.9,1.9,23.4,Peña +18.8
28/4/12,3/5/12,El Universal-Buendía y Laredo,1000,Vivienda,±3.5%,39.2,22.1,17.5,1.1,20.2,Peña +17.1
27/4/12,29/4/12,Milenio-GEA ISA,1147,Vivienda,±3%,39.9,18.8,13.7,1.7,25.9,Peña +21.1
27/4/12,29/4/12,Consulta Mitofsky,1000,Vivienda,±3.1%,38.0,22.0,18.0,1.0,21.0,Peña +16.0
26/4/12,28/4/12,Milenio-GEA ISA,1147,Vivienda,±3%,38.4,18.6,15.6,1.2,26.2,Peña +19.8
26/4/12,29/4/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,40.0,21.0,20.0,1.0,18.0,Peña +19.0
25/4/12,27/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,37.3,18.9,16.9,1.4,25.5,Peña +18.4
24/4/12,26/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,37.4,19.3,18.1,1.8,23.4,Peña +18.1
23/4/12,25/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.8,19.1,17.4,1.7,25.0,Peña +17.7
22/4/12,24/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,38.2,19.9,17.0,1.2,23.7,Peña +18.3
21/4/12,23/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,37.2,21.3,17.4,0.7,23.4,Peña +15.9
20/4/12,22/4/12,Consulta Mitofsky,1000,Vivienda,±3.1%,40.0,21.5,18.0,0.5,20.0,Peña +18.5
20/4/12,22/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.7,21.7,17.2,0.9,23.5,Peña +15
19/4/12,22/4/12,Grupo Reforma,1515,Vivienda,±2.9%,32.0,22.0,21.0,2,23.0,Peña +10
19/4/12,21/4/12,Milenio-GEA ISA,1145,Vivienda,±3%,35.1,21.2,19.4,0.9,23.4,Peña +13.9
