del,al,Encuesta,Muestra,Levantamiento,Error,EPN,JVM,AMLO,GQ,NR,Ventaja
27/05/12,29/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",34.5,20.2,21.3,2.8,21.2,"Peña +13.2"
26/05/12,28/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",35.3,19.6,20,3.4,21.7,"Peña +15.3"
25/05/12,27/05/12,"Consulta Mitofsky",1000,"Vivienda","±3.1%",35.6,20.4,21.7,1.6,20.7,"Peña +13.9"
25/05/12,27/05/12,"Milenio-GEA ISA",1148,"Vivienda","±3%",36.1,19.1,19.5,3.8,21.5,"Peña +16.6"
24/05/12,26/05/12,"Milenio-GEA ISA",1148,"Vivienda","±3%",35.4,18.3,19.1,3.6,23.6,"Peña +16.3"
24/05/12,27/05/12,"Grupo Reforma",1515,"Vivienda","±2.9%",28.5,18,26.5,4,23,"Peña +2.0"
23/05/12,26/05/12,"El Sol de México-Parametría",1000,"Vivienda","±3.1%",36,20,23,2,19,"Peña +13.0"
23/05/12,25/05/12,"Milenio-GEA ISA",1148,"Vivienda","±3%",36.1,19.6,19.4,3.5,21.4,"Peña +16.5"
22/05/12,24/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",35.7,19.7,20.8,3.2,20.6,"Peña +14.9"
21/05/12,23/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",37.4,19.8,20.3,3.7,18.8,"Peña +17.1"
20/05/12,22/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",38.4,19.3,20,4.3,18,"Peña +18.4"
19/05/12,21/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",40.1,20.2,16.9,4.4,18.4,"Peña +19.9"
18/05/12,20/05/12,"Grupo Fórmula-Con Estadística",1200,"Vivienda","±2.9%",35.7,23.2,21.1,2,18,"Peña +12.5"
18/05/12,20/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",38.2,20.9,17,4.2,19.7,"Peña +17.3"
18/05/12,20/05/12,"Consulta Mitofsky",1000,"Vivienda","±3.1%",37.9,20.1,20.5,1.8,19.7,"Peña +17.4"
17/05/12,22/05/12,"Ipsos-Bimsa",1000,"Vivienda","±3.7%",36,21,24,3,16,"Peña +12.0"
17/05/12,19/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",37.5,20.3,17.2,3.9,21.1,"Peña +17.2"
16/05/12,18/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",36.4,20,18.7,4.8,20.1,"Peña +16.4"
15/05/12,18/05/12,"El Sol de México-Parametría",1000,"Vivienda","±3.1%",38,20,21,2,19,"Peña +17.0"
15/05/12,17/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",36.4,20.1,19.8,5.4,18.3,"Peña +16.3"
14/05/12,16/05/12,"Milenio-GEA ISA",1144,"Vivienda","±3%",35.5,20.5,20.1,5.3,18.6,"Peña +15"
13/05/12,16/05/12,"SDP Noticias-Covarrubias",1500,"Vivienda","±2.53%",36,24,27,4,9,"Peña +9.0"
13/05/12,15/05/12,"Milenio-GEA ISA",1144,"Vivienda","±3%",37.6,20.5,19.3,5.1,17.5,"Peña +17.1"
12/05/12,14/05/12,"GEA-ISA",1000,"Vivienda","±4%",37,22,20,4,17,"Peña +15"
12/05/12,14/05/12,"Milenio-GEA ISA",1144,"Vivienda","±3%",37,20.6,18.3,5.4,18.7,"Peña +16.4"
11/05/12,13/05/12,"Consulta Mitofsky",1000,"Vivienda","±3.1%",38.4,20.8,19.1,1.7,20,"Peña +17.6"
11/05/12,13/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",36,20.2,18.9,4.8,20.1,"Peña +15.8"
10/05/12,12/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",34.6,19.6,19.7,4.8,21.3,"Peña +14.9"
09/05/12,11/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",35.4,19.5,19.4,3.7,22,"Peña +15.9"
08/05/12,11/05/12,"El Sol de México-Parametría",1000,"Vivienda","±3.1%",34,18,19,4,25,"Peña +15.0"
07/05/12,08/05/12,"Grupo Fórmula-Con Estadística",1200,"Vivienda","±2.9%",38.3,19.9,17.3,2.5,22,"Peña +18.4"
07/05/12,09/05/12,"Consulta Mitofsky",1000,"Vivienda","±3.1%",38.5,21.4,18.6,1.9,19.6,"Peña +17.1"
07/05/12,09/05/12,"Consulta Mitofsky",1000,"Vivienda","±3.1%",38.5,21.4,18.6,1.9,19.6,"Peña +17.1"
07/05/12,09/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",36,18.8,19.5,4.1,21.6,"Peña +16.5"
07/05/12,10/05/12,"El Universal-Buendía y Laredo",1000,"Vivienda","±3.5%",41.9,19.4,20.9,2.1,15.7,"Peña +21.0"
06/05/12,08/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",36.1,19.7,19.8,3.8,20.6,"Peña +16.3"
05/05/12,07/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",36.3,20.3,18.4,2.4,22.6,"Peña +16.0"
04/05/12,06/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",35.8,20.7,18.5,1.4,23.6,"Peña +15.1"
03/05/12,05/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",35.2,20.3,17.8,1.1,25.6,"Peña +14.9"
02/05/12,04/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",33.9,21.2,18.7,1,25.2,"Peña +12.7"
02/05/12,06/05/12,"El Sol de México-Parametría",1000,"Vivienda","±3.1%",41,21,21,1,16,"Peña +20.0"
01/05/12,03/05/12,"Milenio-GEA ISA",1152,"Vivienda","±3%",37.9,21.1,17.1,0.9,23,"Peña +16.8"
