Fecha,Determinacion
01/01/06,NA
02/01/06,10.6253
03/01/06,10.6455
04/01/06,10.5815
05/01/06,10.5907
06/01/06,10.5726
07/01/06,NA
08/01/06,NA
09/01/06,10.5446
10/01/06,10.599
11/01/06,10.6097
12/01/06,10.5732
13/01/06,10.5752
14/01/06,NA
15/01/06,NA
16/01/06,10.559
17/01/06,10.5372
18/01/06,10.5778
19/01/06,10.5589
20/01/06,10.5078
21/01/06,NA
22/01/06,NA
23/01/06,10.5208
24/01/06,10.5063
25/01/06,10.5004
26/01/06,10.5039
27/01/06,10.4598
28/01/06,NA
29/01/06,NA
30/01/06,10.4416
31/01/06,10.4433
01/02/06,10.4303
02/02/06,10.4805
03/02/06,10.4981
04/02/06,NA
05/02/06,NA
06/02/06,NA
07/02/06,10.4758
08/02/06,10.5277
09/02/06,10.4803
10/02/06,10.487
11/02/06,NA
12/02/06,NA
13/02/06,10.5258
14/02/06,10.5249
15/02/06,10.517
16/02/06,10.5175
17/02/06,10.4528
18/02/06,NA
19/02/06,NA
20/02/06,10.4401
21/02/06,10.4388
22/02/06,10.499
23/02/06,10.4885
24/02/06,10.4761
25/02/06,NA
26/02/06,NA
27/02/06,10.4661
28/02/06,10.456
01/03/06,10.4673
02/03/06,10.5113
03/03/06,10.5759
04/03/06,NA
05/03/06,NA
06/03/06,10.6118
07/03/06,10.7003
08/03/06,10.756
09/03/06,10.7094
10/03/06,10.7125
11/03/06,NA
12/03/06,NA
13/03/06,10.7126
14/03/06,10.6942
15/03/06,10.6667
16/03/06,10.6212
17/03/06,10.6885
18/03/06,NA
19/03/06,NA
20/03/06,10.7568
21/03/06,NA
22/03/06,10.8628
23/03/06,10.8612
24/03/06,10.8568
25/03/06,NA
26/03/06,NA
27/03/06,10.9329
28/03/06,10.9633
29/03/06,10.951
30/03/06,10.9228
31/03/06,10.8935
01/04/06,NA
02/04/06,NA
03/04/06,10.8717
04/04/06,10.8548
05/04/06,10.9467
06/04/06,11.0557
07/04/06,11.1443
08/04/06,NA
09/04/06,NA
10/04/06,11.0956
11/04/06,11.0708
12/04/06,11.0477
13/04/06,NA
14/04/06,NA
15/04/06,NA
16/04/06,NA
17/04/06,11.0842
18/04/06,11.0011
19/04/06,10.9773
20/04/06,11.0302
21/04/06,11.0667
22/04/06,NA
23/04/06,NA
24/04/06,11.0656
25/04/06,11.0842
26/04/06,11.1578
27/04/06,11.1135
28/04/06,11.0903
29/04/06,NA
30/04/06,NA
01/05/06,NA
02/05/06,11.0323
03/05/06,10.9608
04/05/06,10.9694
05/05/06,10.9587
06/05/06,NA
07/05/06,NA
08/05/06,10.9381
09/05/06,10.9258
10/05/06,10.8425
11/05/06,10.8381
12/05/06,11.0325
13/05/06,NA
14/05/06,NA
15/05/06,11.1532
16/05/06,11.0518
17/05/06,11.133
18/05/06,11.2005
19/05/06,11.1915
20/05/06,NA
21/05/06,NA
22/05/06,11.2799
23/05/06,11.1935
24/05/06,11.2854
25/05/06,11.2097
26/05/06,11.1373
27/05/06,NA
28/05/06,NA
29/05/06,11.1303
30/05/06,11.2693
31/05/06,11.2966
01/06/06,11.2843
02/06/06,11.297
03/06/06,NA
04/06/06,NA
05/06/06,11.2854
06/06/06,11.3667
07/06/06,11.325
08/06/06,11.419
09/06/06,11.3777
10/06/06,NA
11/06/06,NA
12/06/06,11.3827
13/06/06,11.4327
14/06/06,11.4527
15/06/06,11.4113
16/06/06,11.414
17/06/06,NA
18/06/06,NA
19/06/06,11.4459
20/06/06,11.4809
21/06/06,11.4441
22/06/06,11.4405
23/06/06,11.4382
24/06/06,NA
25/06/06,NA
26/06/06,11.409
27/06/06,11.4302
28/06/06,11.3973
29/06/06,11.4009
30/06/06,11.2723
01/07/06,NA
02/07/06,NA
03/07/06,11.1302
04/07/06,11.0642
05/07/06,11.1901
06/07/06,11.1061
07/07/06,11.0243
08/07/06,NA
09/07/06,NA
10/07/06,10.9547
11/07/06,11.0095
12/07/06,11.0303
13/07/06,11.0523
14/07/06,11.0275
15/07/06,NA
16/07/06,NA
17/07/06,10.9914
18/07/06,10.9618
19/07/06,10.9045
20/07/06,10.8708
21/07/06,10.8954
22/07/06,NA
23/07/06,NA
24/07/06,10.9303
25/07/06,10.9148
26/07/06,10.9337
27/07/06,10.8968
28/07/06,10.8947
29/07/06,NA
30/07/06,NA
31/07/06,10.9181
01/08/06,11.0203
02/08/06,10.9537
03/08/06,10.9802
04/08/06,10.8908
05/08/06,NA
06/08/06,NA
07/08/06,10.8838
08/08/06,10.9113
09/08/06,10.8386
10/08/06,10.8808
11/08/06,10.8147
12/08/06,NA
13/08/06,NA
14/08/06,10.8028
15/08/06,10.825
16/08/06,10.75
17/08/06,10.748
18/08/06,10.8217
19/08/06,NA
20/08/06,NA
21/08/06,10.8038
22/08/06,10.804
23/08/06,10.8428
24/08/06,10.922
25/08/06,10.9528
26/08/06,NA
27/08/06,NA
28/08/06,10.9347
29/08/06,10.9047
30/08/06,10.865
31/08/06,10.9037
01/09/06,10.8952
02/09/06,NA
03/09/06,NA
04/09/06,10.8476
05/09/06,10.8438
06/09/06,10.938
07/09/06,11.0196
08/09/06,11.0271
09/09/06,NA
10/09/06,NA
11/09/06,11.0705
12/09/06,11.0361
13/09/06,11.0117
14/09/06,10.9818
15/09/06,10.9468
16/09/06,NA
17/09/06,NA
18/09/06,10.9273
19/09/06,10.9227
20/09/06,10.9346
21/09/06,10.9953
22/09/06,11.0877
23/09/06,NA
24/09/06,NA
25/09/06,11.105
26/09/06,11.0418
27/09/06,11.0152
28/09/06,11.0502
29/09/06,10.9935
30/09/06,NA
01/10/06,NA
02/10/06,10.9733
03/10/06,11.0404
04/10/06,11.0533
05/10/06,11.0185
06/10/06,11.0624
07/10/06,NA
08/10/06,NA
09/10/06,11.0842
10/10/06,11.0597
11/10/06,11.0248
12/10/06,10.9406
13/10/06,10.8765
14/10/06,NA
15/10/06,NA
16/10/06,10.8364
17/10/06,10.8703
18/10/06,10.8257
19/10/06,10.806
20/10/06,10.8169
21/10/06,NA
22/10/06,NA
23/10/06,10.8489
24/10/06,10.8289
25/10/06,10.7918
26/10/06,10.7313
27/10/06,10.7093
28/10/06,NA
29/10/06,NA
30/10/06,10.774
31/10/06,10.764
01/11/06,10.7449
02/11/06,NA
03/11/06,10.7948
04/11/06,NA
05/11/06,NA
06/11/06,10.8344
07/11/06,10.82
08/11/06,10.8598
09/11/06,10.8632
10/11/06,10.9158
11/11/06,NA
12/11/06,NA
13/11/06,10.9263
14/11/06,10.8675
15/11/06,10.8595
16/11/06,10.8527
17/11/06,10.9524
18/11/06,NA
19/11/06,NA
20/11/06,NA
21/11/06,11.0021
22/11/06,10.9756
23/11/06,10.9682
24/11/06,11.0242
25/11/06,NA
26/11/06,NA
27/11/06,11.052
28/11/06,11.0454
29/11/06,10.9983
30/11/06,10.9975
01/12/06,NA
02/12/06,NA
03/12/06,NA
04/12/06,10.9595
05/12/06,10.894
06/12/06,10.862
07/12/06,10.8558
08/12/06,10.8606
09/12/06,NA
10/12/06,NA
11/12/06,10.8375
12/12/06,NA
13/12/06,10.8255
14/12/06,10.7922
15/12/06,10.774
16/12/06,NA
17/12/06,NA
18/12/06,10.8002
19/12/06,10.8492
20/12/06,10.8075
21/12/06,10.8411
22/12/06,10.8597
23/12/06,NA
24/12/06,NA
25/12/06,NA
26/12/06,10.8747
27/12/06,10.881
28/12/06,10.8755
29/12/06,10.8116
30/12/06,NA
31/12/06,NA
01/01/07,NA
02/01/07,10.7815
03/01/07,10.7708
04/01/07,10.865
05/01/07,10.9355
06/01/07,NA
07/01/07,NA
08/01/07,10.9705
09/01/07,11.0091
10/01/07,11.0333
11/01/07,10.965
12/01/07,10.9765
13/01/07,NA
14/01/07,NA
15/01/07,10.9419
16/01/07,10.986
17/01/07,10.9234
18/01/07,10.9232
19/01/07,10.8824
20/01/07,NA
21/01/07,NA
22/01/07,10.8918
23/01/07,10.9645
24/01/07,10.9486
25/01/07,10.9753
26/01/07,11.0402
27/01/07,NA
28/01/07,NA
29/01/07,11.0855
30/01/07,11.0548
31/01/07,11.0382
01/02/07,10.982
02/02/07,10.9921
03/02/07,NA
04/02/07,NA
05/02/07,NA
06/02/07,10.9192
07/02/07,10.937
08/02/07,10.9683
09/02/07,10.9601
10/02/07,NA
11/02/07,NA
12/02/07,11.0227
13/02/07,10.9915
14/02/07,10.9152
15/02/07,10.9522
16/02/07,10.9958
17/02/07,NA
18/02/07,NA
19/02/07,10.9778
20/02/07,10.9755
21/02/07,11.0023
22/02/07,10.9683
23/02/07,11.0397
24/02/07,NA
25/02/07,NA
26/02/07,11.079
27/02/07,11.1493
28/02/07,11.1682
01/03/07,11.1917
02/03/07,11.1817
03/03/07,NA
04/03/07,NA
05/03/07,11.1762
06/03/07,11.1473
07/03/07,11.1555
08/03/07,11.1426
09/03/07,11.1205
10/03/07,NA
11/03/07,NA
12/03/07,11.1483
13/03/07,11.1727
14/03/07,11.1867
15/03/07,11.1348
16/03/07,11.1664
17/03/07,NA
18/03/07,NA
19/03/07,NA
20/03/07,11.112
21/03/07,11.0796
22/03/07,11.022
23/03/07,11.0166
24/03/07,NA
25/03/07,NA
26/03/07,11.0253
27/03/07,11.047
28/03/07,11.0813
29/03/07,11.0507
30/03/07,11.0322
31/03/07,NA
01/04/07,NA
02/04/07,11.0336
03/04/07,10.9797
